Protein Accession,Fusion Probability,Fused,Cluster Number
P02795,0.996,1,1
P04179,0.962,1,2
O14879,0.994,1,2
Q9BYX4,0.896,1,2
P00973,0.998,1,2
P05362,0.998,1,2
P01584,0.95,1,3
P20591,1,1,2
P09913,0.972,1,1
Q96J88-2,0.952,1,1
Q9UII4,1,1,2
P17275,0.01,0,NA
Q8IV20,1,1,2
Q8WXG1,0.998,1,1
P33121,1,1,2
O95786,0.996,1,2
P20592,0.996,1,2
Q96RQ9-2,0.996,1,2
P14780,0.964,1,3
Q5EBM0,1,1,2
P32455,0.954,1,2
P09914,0.998,1,2
P02778,0.622,1,1
Q13501,0.996,1,1
Q9Y6K5,1,1,2
P25942,0.994,1,2
Q9BQE5,0.88,1,2
P32456,1,1,2
Q13325,1,1,2
O15162,0,0,NA
P14598,0.998,1,2
Q13571,0,0,NA
Q96PP9,1,1,2
P29728-2,0.998,1,2
Q92985-4,0.988,1,1
Q16666,0.996,1,2
Q9UN19,0.244,0,NA
P05161,0.992,1,2
P19525,1,1,2
Q96AZ6,0.998,1,2
Q9H930,1,1,1
P13501,1,1,3
Q460N5,0.998,1,1
Q9H0P0,1,1,2
Q9HB58-6,0.998,1,1
Q03169,1,1,2
Q9P2E3,0.958,1,1
Q14699,0.974,1,3
P29966,0.992,1,2
Q8IVG5,1,1,2
P18510-3,0.99,1,2
O95477,0.866,1,4
Q8IY21,1,1,1
P09601,0.876,1,5
P29590,0.722,1,1
P30466,0.974,1,3
P52630,1,1,2
Q15025,0.074,0,NA
Q03518,1,1,2
Q07820,0,0,NA
Q5K651,0.996,1,2
Q8TDB6,0.974,1,1
Q8IXQ6,0.974,1,2
Q9BYK8,1,1,2
P07711,1,1,2
P12931-2,0.99,1,3
Q01628,0.162,0,NA
Q6ZUJ8,1,1,2
O95544,0.996,1,2
Q5H9U9,0.982,1,1
Q92973,0.97,1,6
O14657,0.998,1,2
Q00978,1,1,1
P19838-2,0.994,1,1
Q8IYM9,0.948,1,1
Q5TEJ8,0.998,1,2
P23381,0.998,1,2
P83111,0.976,1,2
P08631,0.968,1,2
P04839,0.894,1,2
Q53G44,0.998,1,2
Q9H0J9,0.996,1,2
P08670,0.972,1,5
P43490,1,1,2
O15553,0.982,1,2
P98082,0.814,1,2
P01892,0.97,1,2
Q16799,1,1,3
Q9BQE4,0.984,1,1
Q03519,0.998,1,2
Q8N1G2,1,1,2
O94925-3,0.594,1,1
Q9ULC5-3,0.698,1,5
Q14142,0.97,1,2
P04222,0.994,1,2
P07602-3,1,1,2
Q8N884,0.272,0,NA
Q9Y6M5,0.384,0,NA
Q9NUQ6-3,1,1,2
Q96CV9,0.99,1,1
O60603,0.352,0,NA
Q15742,0.002,0,NA
Q15397,0.312,0,NA
Q9HC16,0.014,0,NA
Q53GL7,0.974,1,2
Q9NPI6,0.018,0,NA
O60315,0.998,1,1
Q96GX5,0.264,0,NA
Q15646,0.998,1,2
Q99805,0.438,0,NA
O15118,0.132,0,NA
Q7Z2W4,0.99,1,1
Q8TCS8,1,1,2
Q5JTH9,0.926,1,5
P12314,0.072,0,NA
P55265-4,0.99,1,1
Q9Y6N5,0.902,1,2
Q9NR30,0.954,1,2
P16671,0.972,1,2
Q9BRZ2,0.956,1,4
Q9UHP3-3,0,0,NA
O95379-4,0.99,1,3
Q8NB16,0.088,0,NA
Q9Y5Q8-3,0.078,0,NA
Q9Y4A5,0.004,0,NA
P08571,1,1,3
P28838,0.998,1,2
Q9UL63,0.104,0,NA
Q9BZQ8,0.566,1,6
Q9GZR7,0,0,NA
P13995,0.996,1,2
O00560,0,0,NA
Q9Y5A7,0.162,0,NA
Q96EQ0,0.916,1,2
P23469,0.91,1,3
Q16719,1,1,2
Q9UKK3,0.238,0,NA
O75113,0.982,1,1
P48163,0.998,1,2
Q8NBZ7-2,0.108,0,NA
P17535,0.458,0,NA
Q9NZR1,0.06,0,NA
Q9Y3Z3,0.962,1,2
Q9H223,1,1,2
Q15582,0.792,1,4
P30405,0.89,1,1
Q9UIA0,0.186,0,NA
O15533-3,0.966,1,2
P17844,0.996,1,1
P41226,0.988,1,2
Q8IZH2,0.93,1,1
P54920,0.998,1,2
Q01432-4,1,1,3
P40763,1,1,2
O75410-2,0.948,1,1
Q99836-6,0.616,1,4
Q99541,0.058,0,NA
P43304,0.74,1,1
Q86WV6,0.002,0,NA
P02545,0.9,1,1
P08567,0.928,1,2
A8CG34,0.876,1,5
Q9P2R3-4,0.892,1,2
P50281,0.904,1,2
P06213,0,0,NA
P19971,0.994,1,2
Q6BDS2,0.988,1,3
O94885,0.982,1,2
P51153,0.738,1,3
Q9H939,0.01,0,NA
O75191,0.06,0,NA
Q9H4M9,0.394,0,NA
Q9NZT2,0.622,1,3
P04233-2,0.31,0,NA
Q9H0Q0,0.514,1,3
P31689,0.994,1,1
P49662,0.998,1,2
Q9H6R4,0.042,0,NA
O60879-2,0.684,1,3
P19474,1,1,2
P30273,0.996,1,3
Q9BXK5,0.018,0,NA
P53004,0.942,1,2
Q9Y678,0.97,1,6
Q7Z4G1-2,0,0,NA
Q9Y3I0,0.994,1,2
Q9UDY2-7,0.978,1,1
Q8TC07-3,0.93,1,7
P61769,0.908,1,2
Q8IY37,0.402,0,NA
A1X283,0.792,1,3
Q10589,0.968,1,4
P16615,0.966,1,1
P07355-2,0.99,1,2
Q9UJ70-2,0.998,1,3
O00499-2,0.994,1,3
Q13287,0.972,1,2
Q03188,0.998,1,8
Q9Y696,0.302,0,NA
Q13075,0.138,0,NA
Q9Y305-4,0.992,1,2
P49006,0.988,1,3
Q14258,0.94,1,2
O00571,0.884,1,1
Q8IV50,0.834,1,3
Q9UI08-2,0.246,0,NA
Q13617-2,0.726,1,6
Q14241,0.08,0,NA
P09543,0.994,1,2
Q96HA7,0.438,0,NA
P07339,0.958,1,2
Q00403,0.53,1,1
P17029,0,0,NA
P17813,0.998,1,3
Q8TD55,0.974,1,3
Q969Q5,0.962,1,1
Q9NXW2,0.744,1,1
Q14764,0.96,1,2
Q8TE77,0.924,1,7
Q6WKZ4,0.998,1,9
P48507,0.998,1,1
Q96RT1-8,0.672,1,3
Q9NUL5,0.998,1,2
P02792,0.984,1,2
Q14108,0.992,1,3
O60784,0.972,1,3
P07204,0.998,1,1
O60488,0.992,1,3
Q6IAA8,0,0,NA
P10153,0.934,1,9
Q08722,0.776,1,3
Q9UHD1,0.8,1,3
Q8WZA9,0.998,1,3
O14880,0.006,0,NA
Q9Y2J2-2,0.998,1,3
Q96P16,0.054,0,NA
Q7L9L4-2,0.322,0,NA
P19878,0.016,0,NA
P16070,0.948,1,3
O14966,0.308,0,NA
Q9HCE1,0.942,1,2
Q96JC9,0.856,1,1
P80217-2,0.986,1,2
Q6P4F7,0.75,1,10
Q9UNH7,0.626,1,2
O60566-3,0.536,1,10
Q9Y4E8,0.976,1,3
Q9NRD1,0.998,1,2
Q02818,0.962,1,3
O15381,0.072,0,NA
Q9NUD5,0.338,0,NA
Q08J23,0.984,1,3
O00182,0.918,1,2
Q16643-3,0,0,NA
Q92540-4,0.836,1,3
P41218,0.612,1,1
P23497-4,0.978,1,2
Q9UH62,0.554,1,3
Q9BYT8,0.94,1,3
O60711-2,0.192,0,NA
Q86VI3,0.006,0,NA
P08134,0.04,0,NA
P30740,0.956,1,3
Q6GTX8,0.98,1,3
Q69YH5,0.152,0,NA
P50995,0.984,1,7
Q8WWK9-5,0.51,1,10
Q9NPY3,0.97,1,4
Q9UHQ1,0.006,0,NA
Q9HBU6,0.158,0,NA
Q9NQW6,0.258,0,NA
O96028,0.86,1,9
P14384,0.986,1,3
Q92766-2,0.736,1,9
P16401,0.84,1,9
P26572,0.004,0,NA
P46736,0,0,NA
Q14376,0,0,NA
Q9UGU0,0,0,NA
Q92930,0.998,1,1
P20020,0.87,1,1
P00813,1,1,3
Q08380,0.966,1,3
Q3LXA3,0.392,0,NA
P29466,0.544,1,3
O14578-4,0.15,0,NA
P12109,0.986,1,3
Q9NSI8-3,0.952,1,2
O75528,0,0,NA
P15559,0.8,1,3
P14635,0.704,1,9
P02786,0.946,1,3
O00178,0.78,1,2
Q9Y2X7,0.984,1,9
Q9UG63-2,0.704,1,3
Q5J8M3,0.004,0,NA
Q8NI60,0.076,0,NA
P07332,0.006,0,NA
Q643R3,0,0,NA
Q9UNK0,0,0,NA
O43353,0.14,0,NA
P25774,0.002,0,NA
Q99661,0.974,1,9
O75475,0.784,1,9
O95239,0.002,0,NA
Q14807,0.378,0,NA
O60427,0.266,0,NA
O43663,0.692,1,10
Q9NQE9,0.982,1,3
P33981,0.596,1,7
Q99571-2,0.974,1,3
Q8N392,0.166,0,NA
P07919,0.264,0,NA
P45880,0.202,0,NA
Q96H79,0.03,0,NA
P07305,0.048,0,NA
O14777,0.372,0,NA
P13073,0.924,1,11
P49715-3,0.954,1,9
P48060,0,0,NA
Q8N2G8,0.93,1,9
P41208,0.01,0,NA
Q9NQS7,0.994,1,9
Q9NS87,0.156,0,NA
P08575,0.974,1,3
P09874,0.052,0,NA
O95319-3,0.28,0,NA
P06132,0,0,NA
Q9NUM4,0,0,NA
Q6NVY1,0.018,0,NA
P46013,1,1,9
O95347,0.602,1,7
Q99873-4,0.992,1,12
P49642,0.192,0,NA
O75438,0.406,0,NA
Q68CZ2,0.998,1,3
Q13451,0.984,1,3
Q9BRP4,0.004,0,NA
P10412,0.932,1,13
P0C0S8,0.994,1,13
O14545,0,0,NA
P49005,0.574,1,14
Q9Y639,0.932,1,3
O60341,0.932,1,9
Q15532,0.088,0,NA
Q96EV2,0,0,NA
P14209,0,0,NA
P23919,0.924,1,14
Q01130,0,0,NA
Q02252,0.864,1,9
Q53HL2,0.006,0,NA
P25490,0.82,1,14
P17931,0.978,1,3
Q9P2D0,0,0,NA
Q96AQ6,0.982,1,9
Q5U5X0,0,0,NA
Q06203,0.592,1,14
Q15293,0.996,1,3
Q86WJ1,0.932,1,7
P34897,0.142,0,NA
P18887,0.114,0,NA
O43175,0.598,1,7
Q6PL18,0.962,1,9
Q9BXF6,0.676,1,14
Q14738,0,0,NA
Q96Q89-2,0,0,NA
Q9NUQ3,0,0,NA
Q9NQG5,0.644,1,15
P0C0S5,0.822,1,9
P32519,0.9,1,14
P12259,0,0,NA
P49023-3,0.006,0,NA
P45973,0.97,1,9
Q01970,0.008,0,NA
Q96CM8-2,0.696,1,9
Q15181,0.998,1,3
Q9Y4C1,0.072,0,NA
Q92597,0.87,1,14
P01130,0.002,0,NA
Q9Y2D5-4,0.012,0,NA
Q9GZY6,0.05,0,NA
Q8WXX5,0.996,1,14
P62937,0,0,NA
P42126,0.964,1,11
P23219-5,0.678,1,11
P11049,0.004,0,NA
Q92945,0.68,1,14
Q9UQE7,0.104,0,NA
Q14558-2,0.004,0,NA
P27361,0.014,0,NA
P52701,0.676,1,7
Q13427,0.066,0,NA
O95989,0.002,0,NA
Q96D71,0,0,NA
Q8N573,0.974,1,14
Q9NR46,0.042,0,NA
P33993,0.886,1,7
P09668,0,0,NA
Q8N668,0,0,NA
O43493,0,0,NA
P36639,0,0,NA
Q9Y6I3,0.914,1,14
Q6DKJ4,0.004,0,NA
O00170,0.048,0,NA
Q15398,0.034,0,NA
Q9BSJ8-2,0.882,1,9
Q9H3M7,0.016,0,NA
Q9BRR9-2,0.254,0,NA
Q9BW19,1,1,9
P29372,0.934,1,9
Q6UW68,0,0,NA
Q15054,0.972,1,14
Q9UK45,0,0,NA
P26583,0.914,1,14
Q92541,0.462,0,NA
P30040,0.864,1,14
Q9P2K3-3,0.986,1,9
Q7Z4W1,0.262,0,NA
P27144,0.194,0,NA
P39748,0.382,0,NA
Q6IC98,0.018,0,NA
P98171-2,0.592,1,7
P51570-2,0.996,1,14
Q9Y3D3,0.222,0,NA
Q9H0H5,0.21,0,NA
P14859-6,0,0,NA
Q96KP4,0.976,1,3
Q8WVX9,0.128,0,NA
Q03164-3,0.03,0,NA
Q8WXI4-2,0.01,0,NA
Q9BWD1,0.644,1,14
Q9BZZ2,0.62,1,3
Q8N6T7,0,0,NA
O60234,0.996,1,14
Q9UNE7,0.998,1,14
A6NDG6,0,0,NA
Q12912,0.884,1,9
P33991,0.994,1,14
Q9H0E3-3,0,0,NA
O75792,0.978,1,14
Q14331,0.98,1,14
Q99447,0.018,0,NA
Q9HCU8,0.004,0,NA
Q9Y265,0,0,NA
P51808,0,0,NA
Q9BRX5,0.772,1,14
P25685,0.806,1,14
Q32P28,0.692,1,14
A0FGR8-2,0.916,1,9
Q14687,0.508,1,9
P60660-2,0.136,0,NA
Q14197,0,0,NA
Q01543,0.918,1,14
Q96T88-2,0.976,1,9
Q14683,0.96,1,9
Q92896-2,0.796,1,11
Q13561-2,0.078,0,NA
Q15819,0,0,NA
Q13112,0.994,1,9
P35520-2,0.042,0,NA
O00233,0.046,0,NA
O60885,0,0,NA
P11413-2,0.232,0,NA
Q13153,0.642,1,14
P46821,0.82,1,16
P50440-2,0.868,1,11
Q53QZ3,0.786,1,14
P52732,0.426,0,NA
P49454,0.996,1,9
P53350,0.988,1,10
Q96B97,0.762,1,14
Q8NBJ7,0.01,0,NA
P46778,0,0,NA
Q9UQB8,0.014,0,NA
Q15428,0.048,0,NA
Q13243,0,0,NA
P11166,0.032,0,NA
Q8NB15,0,0,NA
Q9UIM3,0,0,NA
P33992,0.238,0,NA
P07737,0.468,0,NA
P27694,0.372,0,NA
P11717,0.214,0,NA
Q02241,0.634,1,10
Q13242,0,0,NA
P12318,0.4,0,NA
P49736,0.764,1,7
Q8WUD4,0,0,NA
Q2TAL8,0,0,NA
Q9UHV9,0.464,0,NA
Q9Y224,0.692,1,17
O95865,0.928,1,14
Q9NTJ3,0.544,1,14
O95881,0.358,0,NA
P31942-2,0.062,0,NA
Q13444,0.48,0,NA
Q8IV38,0.244,0,NA
Q14005,0.722,1,9
Q9Y2B0,0,0,NA
Q92522,0.208,0,NA
O95848,0,0,NA
Q9BY42,0.01,0,NA
Q96KB5,0.024,0,NA
Q96PU4,0.176,0,NA
Q53EZ4,0.044,0,NA
O00257,0.674,1,9
P11388-4,0.992,1,9
Q96JY6-5,0.604,1,9
Q13526,0,0,NA
Q14141,0.776,1,14
Q15075,0.992,1,18
Q9C0B1,0.66,1,14
Q86YS7-4,0.122,0,NA
P35637,0.808,1,17
Q9Y6M1,0.898,1,14
Q7Z6K5-2,0.004,0,NA
O60449-2,0.942,1,14
Q92917,0.008,0,NA
O14672,0.442,0,NA
Q13496,0,0,NA
Q9NWY4,0.008,0,NA
P40937,0.998,1,9
Q01826-2,1,1,14
Q16576,0.98,1,14
P49189,0.602,1,18
P27707,0.084,0,NA
P54819,0.98,1,11
Q99439,0.114,0,NA
P13716-2,0.432,0,NA
P13591-1,0.986,1,16
Q9H4E7,0.758,1,14
P09417,0.006,0,NA
P09429,0.914,1,17
P00441,0.012,0,NA
Q07812-2,0.8,1,14
Q9NQ48,0,0,NA
Q86V81,0.462,0,NA
Q8NCW5,0.002,0,NA
Q8NC51,0,0,NA
Q13574,0,0,NA
Q9ULW0-2,1,1,9
Q14116,0.052,0,NA
Q07065,0.68,1,9
P17480,0.05,0,NA
Q9HD42,0.092,0,NA
Q9H3P2,0.954,1,18
Q9H0V9-2,0,0,NA
P25325-2,0.018,0,NA
P12004,0.994,1,14
Q4J6C6,0.95,1,14
Q96MW1,0.5,0,NA
Q13011,0.122,0,NA
Q9HAB8,0.18,0,NA
P28340,0.06,0,NA
P37108,0.992,1,14
Q09028,0.312,0,NA
P54577,0.998,1,17
P55327-3,0.024,0,NA
P80303,0.96,1,14
P19404,0,0,NA
Q99952,0.012,0,NA
P33316,0.782,1,19
Q08257,0.012,0,NA
P49959-3,0,0,NA
Q9UBQ7,0.94,1,17
P27695,0.99,1,17
Q13111,0.03,0,NA
Q13185,0.932,1,14
Q15172,0.004,0,NA
P25098,0.946,1,14
Q14254,0.098,0,NA
P04075,0.978,1,18
Q04724,0.084,0,NA
P84101,0.002,0,NA
P56524,0,0,NA
Q8TF01,0.02,0,NA
Q8IV63,0.482,0,NA
P22307,0.036,0,NA
Q8IX19,0.876,1,14
Q9NUL3,0.102,0,NA
P06454,0.946,1,17
O43707,0.918,1,17
P30038,0.108,0,NA
P26038,0.81,1,18
P11586,0.794,1,17
Q9UNN5,0.988,1,17
P84103,0.452,0,NA
Q9NUW8,0,0,NA
Q9GZT9,0.946,1,14
O43678,0.004,0,NA
P00568,0.062,0,NA
P00374,0.298,0,NA
O75369-8,0.988,1,14
P49458,0.884,1,14
P20338,0,0,NA
Q96RF0,0,0,NA
Q9UBT2,0.014,0,NA
P07237,0.398,0,NA
Q9UPN4-2,0,0,NA
Q9UBE0,0.882,1,17
Q86Y22,0,0,NA
Q12834,0.994,1,10
Q15555,0,0,NA
P16455,0.002,0,NA
P40855,0.176,0,NA
P18206,0.958,1,17
Q8N954,0,0,NA
Q9Y230,0.892,1,14
P51858,0.88,1,17
P59998-3,0.9,1,17
Q9NQR4,0.958,1,18
O95490-6,0.89,1,9
P50502,0.976,1,17
P48595,0.564,1,17
P33241-3,0.962,1,14
Q16850,0,0,NA
Q16204,0,0,NA
Q14814-4,0.972,1,14
P11233,0,0,NA
O60869,0.976,1,18
O95067,0.934,1,9
Q15369,0.988,1,14
P00558,0.986,1,18
Q96CS2,0.676,1,14
O75717,0.902,1,14
Q7LBR1,0.998,1,14
Q9UHF1,0.018,0,NA
Q9UGN4,0,0,NA
Q9BQS8-4,0.672,1,17
P09972,0.956,1,14
Q14847,0.416,0,NA
Q00722,0.336,0,NA
P26447,0.996,1,14
P49321-3,0.132,0,NA
P23921,0.96,1,17
O43633,0,0,NA
Q5T013,0.098,0,NA
Q9UQL6-3,0.228,0,NA
P06753,0.008,0,NA
P00488,0.006,0,NA
P06733,0.992,1,17
O94888,0,0,NA
Q04760,0.938,1,18
Q9Y5J9,0.904,1,14
Q06481,0,0,NA
Q9P016,0.986,1,14
P34949,0.54,1,18
Q9BXS6,1,1,9
P55854-2,0.024,0,NA
Q9Y237-2,0,0,NA
P61586,0.988,1,14
O95864,0.128,0,NA
Q9BRP8,0.416,0,NA
P08243,0.182,0,NA
O43598,0,0,NA
Q02809-2,0.974,1,14
O15400,0.83,1,14
P18669,0.99,1,18
Q99795,0,0,NA
P25205-2,0.886,1,14
P08962,0.82,1,3
O75781,0.05,0,NA
Q9NSC5,0.086,0,NA
P09960,0.894,1,17
Q9Y5L4,0.006,0,NA
O95336,0.986,1,18
Q96C86,0.308,0,NA
P20138,0,0,NA
P50452,0.914,1,17
Q16610-4,0.242,0,NA
Q15019-2,0.972,1,18
B7ZBB8,0.274,0,NA
P28289,0.978,1,14
Q9UNP9,0.002,0,NA
Q07960,0.3,0,NA
P16104,0.846,1,14
P20962,0.644,1,18
Q13813,0.996,1,14
O60493,0.812,1,18
P04424,0.606,1,17
O75976,0.044,0,NA
Q96BZ4,0.996,1,9
Q8NCC3,0.51,1,14
Q02790,0.918,1,17
P06737,0.982,1,17
Q01196-8,0.724,1,15
P83916,0,0,NA
P35475-2,0,0,NA
P29762,0.978,1,14
Q9UK76,0.958,1,14
Q15059,0.998,1,14
Q15056-2,0.232,0,NA
O14618,0.676,1,17
P06396-2,0.964,1,17
P49588,0.944,1,17
Q9HB71,0.992,1,17
P15121,0.924,1,17
P10586,0.968,1,14
Q6JBY9,0.692,1,18
P82979,0.264,0,NA
P48637,0,0,NA
Q5TBB1,0.976,1,14
Q16181,0.936,1,18
P34913,0,0,NA
Q9UHD8,0.628,1,18
Q9Y5Z4,0.71,1,17
Q9BVW5,0,0,NA
P57076,0.404,0,NA
Q9BX68,0.648,1,11
Q8N806,0.746,1,17
Q2TAA2,0.252,0,NA
Q14257-2,0,0,NA
Q9NR33,0.98,1,14
Q15785,0.872,1,18
P80297,0.002,0,NA
Q9HA64,0.582,1,14
Q99536,0.944,1,14
Q99733-2,0.854,1,18
Q9H3K6,0.002,0,NA
O00584,1,1,14
Q9BPW9-4,0.9,1,14
Q8NBT2,0.996,1,14
Q8WW12,0.862,1,18
P16150,0.97,1,14
P20702,0.944,1,14
Q15004,0.896,1,14
P19793,0.716,1,14
Q6XQN6,0.906,1,17
Q14493,0.004,0,NA
Q9HC38-2,0.734,1,17
Q9GZU8,0.996,1,14
Q9BV40,0.986,1,14
Q15274,0.996,1,14
P28072,0.998,1,17
Q9BZD4,0.338,0,NA
P08397,0.71,1,18
O60504,0.354,0,NA
Q14157-5,0.832,1,17
O14745,0.986,1,14
P31146,0.462,0,NA
Q15814,0.032,0,NA
P42773,0,0,NA
Q6FIF0,0.018,0,NA
O75164,0.036,0,NA
Q9BR76,0.874,1,18
P40925-3,0.914,1,17
O15394,0.988,1,14
Q9HA77,0,0,NA
P50897,0.988,1,14
P08246,0,0,NA
Q9BT09,0.886,1,18
Q01082,0.846,1,15
Q8WVJ2,0.004,0,NA
P80723,0.992,1,17
Q9BTT0-3,0.932,1,17
O14732,0.226,0,NA
P00492,0.994,1,17
Q6N043,0,0,NA
Q9UEE9,0.23,0,NA
O75330-3,0.956,1,14
Q8N300,0.008,0,NA
P23193,0.222,0,NA
Q9Y6H1,0.986,1,14
P21399,0.964,1,17
P62942,0.592,1,20
P51825-2,0.736,1,14
Q9HCN4-5,0,0,NA
P01034,0.61,1,14
P04818,0.05,0,NA
Q02556,0,0,NA
P48509,0.048,0,NA
P00918,0.972,1,17
Q9H098-2,0.9,1,18
P31350-2,0.274,0,NA
Q6UVJ0,0.844,1,14
P10124,0.664,1,17
Q9UBG0,0.99,1,14
P07902,0.96,1,14
P22692,0,0,NA
A9UHW6,0.904,1,14
Q9BSL1,0.002,0,NA
P50895,0.076,0,NA
O95229,0,0,NA
Q9Y6A5,0.988,1,14
P06753-2,0.532,1,18
Q12882,0.446,0,NA
Q9Y617,0.992,1,17
Q9H4A5,0.008,0,NA
P32119,0.986,1,17
Q9P0W2,0.012,0,NA
P07949,0.844,1,14
P98155,0.518,1,14
Q13951-2,0,0,NA
Q99684,0.066,0,NA
P07225,0.178,0,NA
Q9H7C9,0.988,1,17
P16949,0.958,1,14
Q15102,0.828,1,18
Q8WW33,0.076,0,NA
Q9Y5Y6,0.908,1,17
P08311,0.452,0,NA
P61626,0.548,1,14
P09493-2,0.874,1,14
Q9Y248,0,0,NA
P07311,0.988,1,17
Q9P0P0,0.364,0,NA
Q53EL6,0.96,1,17
Q9Y240,0.43,0,NA
Q9UBB6-3,0.012,0,NA
Q02083,0,0,NA
O75064,0.658,1,6
Q96AE4-2,0,0,NA
Q6R327-3,0,0,NA
O00124,0.026,0,NA
P83436,0.084,0,NA
Q9Y4F3,0,0,NA
Q9Y4X5,0,0,NA
Q96QU8,0.97,1,6
Q9P0K7-2,0,0,NA
Q7L8W6,0,0,NA
Q9NVU7,0,0,NA
