Protein Accession,Fusion Probability,Fused,Cluster Number
Q8N3F8,0,0,NA
Q9NZM5,0.05,0,NA
Q8N5A5,0.074,0,NA
Q01804,0,0,NA
Q8WWI1,0.002,0,NA
Q9UFN0,0.224,0,NA
Q7L8L6,0,0,NA
Q9C0D5,0.006,0,NA
Q99943,0,0,NA
Q13395,0.614,1,21
Q13615,0,0,NA
Q5SW79,0,0,NA
Q8IXH7,0,0,NA
Q7Z6I8,0,0,NA
Q8IZL8,0.006,0,NA
P15291,0.274,0,NA
Q96AH8,0.18,0,NA
O14646,0.032,0,NA
Q92990,0.096,0,NA
Q7Z4H7,0.008,0,NA
Q96BD5-3,0,0,NA
Q9NRW3,0.12,0,NA
Q9UK61,0.286,0,NA
Q9ULT8,0.952,1,6
Q13625-3,0,0,NA
Q9Y646,0,0,NA
Q13546,0,0,NA
O75367,0,0,NA
P30414,0,0,NA
Q9Y487,0,0,NA
O95487-3,0,0,NA
Q96DV4,0,0,NA
P18850,0.002,0,NA
Q13823,0.01,0,NA
O75592,0.234,0,NA
P63165,0,0,NA
Q9Y4J8,0.026,0,NA
Q13315,0.948,1,22
Q9Y4P1-2,0.026,0,NA
Q2TB10,0,0,NA
Q92844,0.004,0,NA
O43426,0,0,NA
P42695,0.004,0,NA
Q92797,0.962,1,5
P48553,0.12,0,NA
O95140,0.872,1,5
Q13905-3,0,0,NA
Q6IQ49,0,0,NA
Q16875-4,0.238,0,NA
Q9BUB5,0.012,0,NA
O00410-3,0.98,1,6
Q96GQ5,0,0,NA
Q5VYK3,0.962,1,6
Q9Y4W2,0.302,0,NA
O75044,0.934,1,6
Q9UPU7,0,0,NA
O95376,0.01,0,NA
Q9BWE0-4,0,0,NA
Q6ZRP7,0,0,NA
Q9Y6D6,0.918,1,22
P02649,0.866,1,13
Q86UT6,0,0,NA
Q5VZL5,0.194,0,NA
Q6QNY1,0,0,NA
Q9BQG0-2,0.972,1,5
P49790,0.814,1,5
Q16891-4,0,0,NA
Q9HB90,0,0,NA
Q9UH17,0,0,NA
P35670,0,0,NA
Q9NZW5,0,0,NA
Q9Y6R4,0,0,NA
Q9BWF3,0,0,NA
Q15165,0.8,1,23
Q08379,0,0,NA
Q13627-2,0,0,NA
Q9UIS9-9,0.01,0,NA
Q99879,0.002,0,NA
Q86YV0,0,0,NA
Q99504,0.006,0,NA
Q86Y56,0.008,0,NA
Q8IWA0,0,0,NA
O00244,0,0,NA
O43823,0.044,0,NA
P18085,0.816,1,12
P33897,0.152,0,NA
Q5QJE6,0.704,1,5
Q7Z4Q2,0.01,0,NA
P28676,0,0,NA
Q7Z3U7-5,0,0,NA
O94822-3,0,0,NA
Q92621,0.876,1,5
P50851-2,0.958,1,21
Q58FG1,0.058,0,NA
P42356,0.9,1,22
P52756,0.008,0,NA
Q13459,0.968,1,6
Q6ZN55-2,0,0,NA
P28907,0,0,NA
Q9UHI6,0.272,0,NA
Q9BT22,0,0,NA
Q9ULI0,0,0,NA
Q9BX10,0.388,0,NA
Q5VSL9,0,0,NA
O95822,0,0,NA
P23458,0.016,0,NA
Q9H583,0.008,0,NA
P45984,0,0,NA
O14980,0.998,1,6
P50748,0.744,1,21
Q9NYJ8,0,0,NA
Q86VY4,0,0,NA
Q9BXP2,0,0,NA
Q12769,0.3,0,NA
P22415,0.02,0,NA
Q8N3U4-2,0.208,0,NA
O95155-4,0,0,NA
A2RRP1,0.162,0,NA
P49757,0,0,NA
Q12768,0.996,1,6
O95639,0,0,NA
Q15118,0.976,1,24
O94759,0.966,1,6
O14981,0.992,1,6
Q7Z460-4,0.006,0,NA
P30154-2,0,0,NA
O60502,0.002,0,NA
Q92616,0.984,1,22
Q9NP50,0.01,0,NA
Q96KG9,0.01,0,NA
Q9HAV4,1,1,6
Q93074-2,0.99,1,5
Q32P41,0,0,NA
Q5SRE5,0,0,NA
O75586-2,0.002,0,NA
Q92544,0,0,NA
P42704,0.12,0,NA
Q8TAD8,0,0,NA
Q96I59,0,0,NA
Q9UIV1,0.006,0,NA
P69905,0.072,0,NA
Q9UIF9,0.014,0,NA
Q96II8-2,0,0,NA
Q76FK4,0,0,NA
Q86WB0,0.51,1,25
Q96SN8,0,0,NA
Q9Y6X5,0.012,0,NA
Q6NXE6,0.004,0,NA
Q96L91,0,0,NA
P06400,0.336,0,NA
Q8WTW3,0.014,0,NA
Q5T4S7-2,0.91,1,6
Q9NRL2,0.998,1,5
P53618,1,1,6
Q15048,0,0,NA
Q14746,0,0,NA
Q14204,0.994,1,6
Q96Q05-2,0.044,0,NA
P82663,0,0,NA
Q9NP66,0,0,NA
Q92636,0.378,0,NA
Q7Z401-2,0.978,1,21
P02788,0,0,NA
Q07866-6,0.012,0,NA
Q9H061,0.018,0,NA
Q5TFE4,0.016,0,NA
Q9H0W8,0,0,NA
Q9NYV4,0,0,NA
P15170-3,0.002,0,NA
Q8N201,0.932,1,5
P78527,0.418,0,NA
O60264,0.918,1,5
Q8WU10,0.004,0,NA
P52294,0.328,0,NA
Q5T160,0.012,0,NA
O94829,0.022,0,NA
Q6P4A7,0,0,NA
Q9NVR2,0,0,NA
Q9NX46,0.71,1,6
O95104,0,0,NA
Q86YQ8,0.156,0,NA
P15498,0.994,1,6
P09917,0,0,NA
Q9UID3,0.004,0,NA
Q9NVF7,0,0,NA
P02774-3,0.012,0,NA
Q6NUQ4,0,0,NA
Q6UX53,0.408,0,NA
P57678,0.082,0,NA
Q8WUM0,0.43,0,NA
Q9Y5B6,0,0,NA
Q8IY18,0.004,0,NA
Q6ZRS2,0.05,0,NA
P63272,0,0,NA
Q92925,0,0,NA
Q96RN5,0.38,0,NA
O43264,0,0,NA
Q9GZQ3,0,0,NA
Q9Y385,0.34,0,NA
P47712,0,0,NA
P55160,1,1,6
Q9Y4R8,0.356,0,NA
Q9H7D7,0.016,0,NA
Q04864,0,0,NA
Q969S3,0,0,NA
A2RUS2,0.036,0,NA
Q9BZL6,0,0,NA
Q13136,0.016,0,NA
Q15545,0,0,NA
Q9BV44,0,0,NA
Q96EP0,0.004,0,NA
Q96MF7,0.014,0,NA
P18583-5,0.242,0,NA
Q9Y618,0,0,NA
P35250,0,0,NA
O94880,0.012,0,NA
Q9Y3R5,0,0,NA
P49792,1,1,5
Q6PGP7,0.98,1,22
Q96EK7,0.028,0,NA
Q15645,0,0,NA
Q8N3C0,0.984,1,6
Q9NXF1,0.014,0,NA
Q13370,0,0,NA
Q15477,0.298,0,NA
Q9NR09,0.188,0,NA
Q9P253,0,0,NA
Q9Y2L9-3,0,0,NA
Q68CP9,0.15,0,NA
Q53ET0,0,0,NA
Q5UIP0,0,0,NA
Q15554,0.02,0,NA
Q13418,0.862,1,21
Q9Y450-2,0,0,NA
Q9Y3P9,0,0,NA
O95197,0,0,NA
Q00839-2,0.774,1,26
Q9UKN8,0,0,NA
Q13206,0.768,1,27
Q8NI27,0.868,1,5
P63146,0,0,NA
Q14008-3,0.458,0,NA
Q9Y3E5,0.098,0,NA
Q9Y2P8,0.002,0,NA
Q6ZNJ1,0,0,NA
P14174,0,0,NA
Q6ZSR9,0,0,NA
Q9NVX2,0.018,0,NA
Q92575,0,0,NA
Q5TBA9,0.116,0,NA
Q7L2E3-2,0.178,0,NA
Q8NHU6,0.64,1,22
Q02447-3,0,0,NA
Q86XL3,0.004,0,NA
P32189,0,0,NA
O95299,0.968,1,28
O15371,0,0,NA
O15397,0.942,1,29
Q9BRT2,0.002,0,NA
O75165,0.36,0,NA
Q96T58,0.96,1,28
P50151,0,0,NA
Q969X6,0,0,NA
Q9NY65,0.05,0,NA
O00186,0.992,1,22
Q92608,0.972,1,6
Q9BQA9,0.036,0,NA
Q8WTT2,0.882,1,27
P42858,0.73,1,22
Q93084-5,0,0,NA
Q8TDD1-2,0,0,NA
Q9Y4C8,0.166,0,NA
O95551-2,0,0,NA
P19388,0,0,NA
Q15654,0,0,NA
P52948,0.92,1,5
Q93008,0.964,1,6
Q15738,0,0,NA
Q8N3X1-2,0,0,NA
Q9H0S4,0.04,0,NA
P55060,0.904,1,22
Q2M389,0,0,NA
P98194-7,0.136,0,NA
Q00610,0.998,1,6
Q9UIA9,0.882,1,22
Q96CU9,0.814,1,25
O95478,0.268,0,NA
Q9NUL7,0,0,NA
Q86VP6,0.936,1,6
Q14643,0.544,1,5
Q9NWS8,0.986,1,26
Q9NQZ2,0.008,0,NA
Q96ST2,0,0,NA
P52789,0.284,0,NA
Q9NXV6,0.976,1,27
Q9NYL2,0,0,NA
P11441,0,0,NA
Q5VZ89,0,0,NA
P32970,0.016,0,NA
Q96ER3,0,0,NA
Q7Z6Z7,0.98,1,6
Q9H8W4,0.002,0,NA
O76080,0,0,NA
Q15651,0,0,NA
A4D1P6,0,0,NA
Q15436,0,0,NA
Q5JSL3,0.822,1,22
Q96BI3,0,0,NA
O15120,0.552,1,26
P49761,0.012,0,NA
Q4G0F5,0.006,0,NA
O15514,0,0,NA
P32780,0.252,0,NA
Q9UIG0,0.984,1,28
O95456,0,0,NA
Q6P3X3,0.002,0,NA
Q15067-2,0,0,NA
P62330,0.168,0,NA
Q92556,0,0,NA
Q5JRA6,0.426,0,NA
Q96KC8,0.014,0,NA
Q9UBW7,0,0,NA
Q9Y483,0,0,NA
Q8IUI8,0,0,NA
Q8N983-4,0.002,0,NA
Q15629,0,0,NA
P21359,0.008,0,NA
Q15007,0.072,0,NA
O60318,0.776,1,1
O00148,0,0,NA
P07099,0,0,NA
Q9Y692,0,0,NA
O95159,0.002,0,NA
Q9Y4B6,0,0,NA
Q8IY17-4,0,0,NA
Q9NRG9,0.004,0,NA
Q6ZSZ5,0,0,NA
P63010-2,0.826,1,29
Q9NTI5,0.098,0,NA
Q6ZMZ3,0.906,1,5
Q13557-8,0.576,1,21
Q6DKI1,0.136,0,NA
Q9BWH2,0,0,NA
Q92665,0,0,NA
Q9ULJ6,0,0,NA
Q15269,0.098,0,NA
Q9UBU9,0.218,0,NA
P26010,0.986,1,4
Q13129,0.004,0,NA
Q8IYB8,0.004,0,NA
P20339,0,0,NA
Q6ZS81,0.99,1,22
Q96RT7,0,0,NA
Q96FV9,0.124,0,NA
Q9H0A0,0.276,0,NA
Q09161,0.002,0,NA
Q08AM6,0.188,0,NA
Q9H582,0,0,NA
O00505,0,0,NA
P53396,0,0,NA
Q9Y282-3,0,0,NA
Q66K14,0.906,1,6
Q9P107,0.028,0,NA
Q92759,0.086,0,NA
Q9P2D3,0.02,0,NA
Q9NW13,0.384,0,NA
O60678,0.15,0,NA
P57764,0.328,0,NA
P53701,0,0,NA
Q01780,0.002,0,NA
O15226-2,0.056,0,NA
P15848,0.998,1,1
Q96P47-4,0,0,NA
Q15008,0.724,1,6
Q8IYB5,0,0,NA
P19823,0.904,1,24
Q9P2N5,0.998,1,28
Q9NVM4,0,0,NA
Q9NVH2,0.98,1,5
Q96ES7,0,0,NA
Q8TC12,0.014,0,NA
Q13601,0,0,NA
O94973,0.762,1,6
Q9Y324,0.562,1,25
Q9BW27,0,0,NA
Q6ZNB6,0,0,NA
Q6P2E9,0.882,1,22
Q99698,0.012,0,NA
P42226,0,0,NA
O00329,0,0,NA
Q86U38,0,0,NA
Q96RE7,0,0,NA
Q8N9N8,0,0,NA
Q15596,0,0,NA
Q8IY81,0.998,1,27
Q8TDQ7,0,0,NA
Q86UX7,0.894,1,30
P54136,0.982,1,6
O43586,0,0,NA
Q15024,0,0,NA
Q13107,0.92,1,6
Q8WWW0-2,0,0,NA
Q9UGP4,0.004,0,NA
O14647,0.002,0,NA
Q9NRW7,0,0,NA
O60610,0.784,1,22
P32019,0.588,1,29
O96005,0.074,0,NA
O75683,0,0,NA
Q14C86-6,0.674,1,6
Q9Y5Q9,0.018,0,NA
P35240-2,0,0,NA
Q9BVP2,0,0,NA
P39880-3,0,0,NA
P82932,0,0,NA
Q9UJS0-2,0,0,NA
Q9Y572,0.008,0,NA
Q13042,0.148,0,NA
Q9H8H0,0.008,0,NA
Q5GLZ8,0,0,NA
Q8N8R7,0,0,NA
Q7L1W4,0.06,0,NA
Q9NZJ7,0.004,0,NA
Q27J81,0.866,1,21
P54652,0,0,NA
Q5BKZ1,0.004,0,NA
Q9NVI1,0,0,NA
Q9H3U1,0.052,0,NA
Q8TEQ6,0.914,1,6
Q04837,0,0,NA
P62854,0,0,NA
Q99570,0.696,1,22
Q86TB9,0.002,0,NA
O95453,0,0,NA
Q5VZE5,0,0,NA
P78406,0.738,1,28
Q15652,0.022,0,NA
Q14149,0.282,0,NA
P08240,0.12,0,NA
Q9UKU7,0,0,NA
Q96JH7,0,0,NA
O15047,0,0,NA
Q8WUH2,0.002,0,NA
Q99613,0.928,1,6
Q14139-2,0.754,1,29
P51116,0,0,NA
Q8TEX9-2,0,0,NA
Q9NW64,0.014,0,NA
Q9P2Y5,0,0,NA
O75362,0.008,0,NA
Q6DD87,0,0,NA
O75391,0,0,NA
Q969M3-3,0,0,NA
O75843,0.364,0,NA
O95373,0.576,1,6
P60228,0.968,1,6
O43432-3,0.538,1,21
Q969N2,0,0,NA
Q13445,0.178,0,NA
Q15154,0.426,0,NA
P57740,0.466,0,NA
Q7Z392,0.018,0,NA
P78344,0.97,1,6
Q86UA1,0.212,0,NA
P46060,0.436,0,NA
O95573,0.998,1,5
Q5VUG0,0.01,0,NA
Q9BPX3,0,0,NA
Q9Y673,0.06,0,NA
Q96Q15,0.004,0,NA
Q9UHY1,0,0,NA
Q16342,0,0,NA
P60842,0.868,1,12
P49327,1,1,22
Q9HD20,0.002,0,NA
Q5T447,0.002,0,NA
Q5TA45,0,0,NA
Q8ND82,0,0,NA
O43156,0.362,0,NA
Q8TCF1,0,0,NA
Q9Y6E2,0.002,0,NA
Q96I51,0,0,NA
O95466-2,0.518,1,6
O15321,0.646,1,5
Q9BXW7,0,0,NA
A6NHR9,0.058,0,NA
Q15005,0,0,NA
Q96T37,0.982,1,28
O43747-2,0.994,1,6
Q8NCE2,0,0,NA
Q7L5N7,0.048,0,NA
P43897,0.07,0,NA
Q6YN16,0,0,NA
Q7Z7L1,0.252,0,NA
O00303,0.052,0,NA
Q92538,0.982,1,22
Q05086,0.43,0,NA
Q99856,0,0,NA
O95340-2,0.07,0,NA
Q05655,0.986,1,6
Q8IWZ3-6,0,0,NA
Q13098-7,0.142,0,NA
Q9BV38,0,0,NA
Q9HCC0,0.666,1,27
O95758-4,0.002,0,NA
Q96JP5,0,0,NA
Q96JM3,0.802,1,28
Q8IX01,0.872,1,28
Q9H4L7-2,0,0,NA
Q99996-6,0,0,NA
P56182,0,0,NA
Q14839-2,0,0,NA
Q9Y3A3,0,0,NA
Q9Y2K7,0.436,0,NA
Q9NZ52,0,0,NA
Q9UPN3,0.04,0,NA
Q9ULX6,0.078,0,NA
P50213,0.068,0,NA
Q06546,0.026,0,NA
O75530-2,0,0,NA
Q9HD45,0,0,NA
Q9BTC8,0,0,NA
Q9NR50,0.618,1,31
P52292,0.83,1,4
P38432,0.59,1,28
Q9UL46,0.992,1,12
P78347,0.906,1,5
Q05209,0,0,NA
Q9BTE1,0.002,0,NA
Q9BTC0,0.602,1,28
Q9HCG8,0,0,NA
Q9UBV2,0,0,NA
Q9UPT8,0.198,0,NA
Q13616,0.988,1,6
Q8NF50,0.98,1,6
Q69YN4,0.002,0,NA
Q96LB3,0,0,NA
Q9UNX4,0.704,1,27
Q9BUP3-3,0.182,0,NA
P42338,0.022,0,NA
O14976,0,0,NA
Q8TED0,0,0,NA
O95352,0.928,1,3
Q9C0E2,0.94,1,6
Q08211,0.374,0,NA
Q7Z2Z2,0.002,0,NA
Q9Y5L0,0.692,1,22
Q9P275-2,0,0,NA
O00541,0,0,NA
O95071,0,0,NA
Q8WYP5-2,0.956,1,28
Q16540,0,0,NA
Q9H0E9,0.022,0,NA
Q9Y5J1,0.016,0,NA
Q12979,0,0,NA
Q9UBB9,0,0,NA
Q9NZM1,0.976,1,2
P15104,0,0,NA
Q06187-2,0.974,1,6
Q96F24,0,0,NA
Q9P015,0,0,NA
P12236,0.144,0,NA
P23284,0,0,NA
Q49A26,0.002,0,NA
Q9H0B6,0,0,NA
Q9UMY1,0,0,NA
Q29RF7,0.954,1,5
Q99714,0.012,0,NA
P68402,0,0,NA
Q9H8M2,0,0,NA
Q9H3S7,0,0,NA
Q9Y2L5,0.38,0,NA
Q9BUK6,0,0,NA
Q9P2I0,0.166,0,NA
Q7Z333-4,0.132,0,NA
Q8N3D4,0,0,NA
Q9H845,0.028,0,NA
O15042,0,0,NA
Q9Y3T9,0.042,0,NA
Q9NXE4-2,0.002,0,NA
Q13724,0,0,NA
A5YKK6,0.944,1,22
Q9H2U1,0,0,NA
O95674,0,0,NA
Q3ZCQ8-2,0.592,1,5
P47897,0.344,0,NA
Q8TD19,0.006,0,NA
Q7Z417,0.818,1,3
Q9UKJ3,0,0,NA
O75694,0.012,0,NA
Q9H270,0.14,0,NA
O00442-2,0.004,0,NA
Q9HAV7,0.196,0,NA
P04150,0.016,0,NA
O15525,0,0,NA
Q13123,0,0,NA
O00566,0.574,1,27
Q8IWR0,0,0,NA
Q5C9Z4,0.08,0,NA
Q9P032,0.024,0,NA
O43815,0,0,NA
O43252,0.002,0,NA
Q92552-2,0,0,NA
P40938,0.008,0,NA
Q9Y613,0.45,0,NA
Q12788,0,0,NA
Q4LE39,0.808,1,5
Q9Y4K3,0.008,0,NA
Q15061,0.432,0,NA
P85037,0.014,0,NA
O43169,0.972,1,26
O00471,0.134,0,NA
Q15542,0,0,NA
O00159-3,0.054,0,NA
Q71DI3,0,0,NA
Q9BZE4,0,0,NA
Q14692,0,0,NA
Q8WYA6,0.004,0,NA
Q16740,0.008,0,NA
O60573,0,0,NA
Q99575,1,1,27
Q9NPQ8,0.008,0,NA
P11387,0.034,0,NA
Q9NVC6,0,0,NA
Q96TA2-2,0.012,0,NA
Q96JB2,0.026,0,NA
Q8TCG1,0.724,1,21
P56134,0.556,1,26
Q6UWP7,0,0,NA
Q05823,0.528,1,22
Q9NXH8,0.18,0,NA
Q15906-2,0.022,0,NA
Q9BXY0,0.836,1,28
Q96KA5,0,0,NA
Q14161,0.002,0,NA
Q9BYC9,0,0,NA
Q7Z5K2-3,0.002,0,NA
O75027-2,0.002,0,NA
Q9H0D6,0.498,0,NA
Q6P996,0.09,0,NA
Q9BZJ0,0,0,NA
Q66LE6,0.13,0,NA
Q16254,0,0,NA
Q6N069,0.108,0,NA
Q8NHJ6-2,0,0,NA
Q99567,0.046,0,NA
Q9H2M9,0.838,1,6
P30260-2,0.002,0,NA
Q96D46,0,0,NA
Q8TDN6,0,0,NA
Q8IWB7,0.972,1,12
Q5VUA4,0,0,NA
Q96GQ7,0.018,0,NA
Q96HC4,0.28,0,NA
O00160,0.958,1,21
Q12913,0,0,NA
P61513,0,0,NA
P05107,0.944,1,27
Q4G176,0,0,NA
P46939,0.578,1,21
P62805,0.006,0,NA
Q9Y4P3,0,0,NA
P51532,0.978,1,28
Q6SJ96,0,0,NA
P62273,0,0,NA
O15523,0,0,NA
O00429,0,0,NA
Q9Y508,0,0,NA
P26599-3,0.008,0,NA
Q8NFH5,0.002,0,NA
Q96EB1-2,0,0,NA
O75170-5,0,0,NA
Q9Y6D0,0,0,NA
Q96T51,0.286,0,NA
O95602,0.088,0,NA
Q9NXA8,0,0,NA
Q9UKW4-4,0,0,NA
Q8N8A2,0,0,NA
O94768,0.002,0,NA
Q15796,0,0,NA
O14617-5,0.592,1,6
O43159,0.154,0,NA
Q86UU1,0.648,1,25
Q9NVV4,0.004,0,NA
Q96E22,0,0,NA
O14523-2,0.05,0,NA
Q8TB03,0,0,NA
Q9Y6G9,0,0,NA
Q9UGP8,0.29,0,NA
O15027-5,0.006,0,NA
Q8NHH9,0,0,NA
Q9BYD1,0,0,NA
Q8NCG7,0,0,NA
Q9Y490,0.896,1,21
Q96G46,0.162,0,NA
O75616,0,0,NA
Q96G23,0.054,0,NA
O60313-2,0.006,0,NA
O60496,0.254,0,NA
P62753,0,0,NA
Q86VR2,0,0,NA
Q8WWV3,0,0,NA
Q15650,0.002,0,NA
Q8TCT9,0,0,NA
Q9BUI4,0.236,0,NA
Q96J02,0.148,0,NA
O75152,0.182,0,NA
O43824,0,0,NA
O14972,0,0,NA
O76031,0.002,0,NA
P82909,0.006,0,NA
Q9Y3A4,0.002,0,NA
Q5T440,0,0,NA
Q8WWQ0,0.418,0,NA
Q9H1A4,0.006,0,NA
Q9HC07,0.444,0,NA
Q8NHQ9,0,0,NA
Q9HAV0,0.692,1,4
Q9H6Y2,0,0,NA
P42331-4,0.002,0,NA
Q03701,0.016,0,NA
Q8TCJ2,0.072,0,NA
Q8NEJ9,0.992,1,32
Q99615,0.04,0,NA
P54886,0,0,NA
P28749,0,0,NA
Q8N4V1-2,0.14,0,NA
P61026,0,0,NA
Q8N0X4,0,0,NA
Q6I9Y2,0,0,NA
P55769,0.054,0,NA
Q8IWX8,0.732,1,25
Q96CB8,0,0,NA
Q96T23,0.008,0,NA
Q13190,0.044,0,NA
Q15904,0,0,NA
Q9BW85,0,0,NA
Q8TF05,0.046,0,NA
P09884,0.04,0,NA
Q6PD62,0,0,NA
Q92600,0,0,NA
P63172,0,0,NA
Q5TC82,0,0,NA
P11182,0,0,NA
Q9UL25,0,0,NA
Q9P2K5,0.356,0,NA
O60763-2,0.002,0,NA
Q9UPN7,0.908,1,21
Q9Y3C1,0.952,1,27
P61803,0.432,0,NA
Q13555-4,0.308,0,NA
P57105,0,0,NA
Q06587,0,0,NA
Q6PJG6,0.76,1,21
O76021,0.008,0,NA
Q6P1J9,0.682,1,27
Q9H3S1,0,0,NA
Q13505,0,0,NA
Q02338,0,0,NA
Q8WWP7,0,0,NA
P0C7P0,0.062,0,NA
P45954,0.982,1,13
O94855-2,0.852,1,6
O00165-2,0.912,1,33
Q9NZ32,0,0,NA
Q9Y4K1,0,0,NA
Q8IV53,0,0,NA
O15270,0,0,NA
Q9BW60,0,0,NA
Q93034,0.116,0,NA
Q9BY50,0.192,0,NA
Q5T653,0,0,NA
P49815,0,0,NA
Q86V48,0.01,0,NA
P14854,0,0,NA
P53992,0.028,0,NA
P29558,0.002,0,NA
Q8NFD5-3,0.004,0,NA
P18621-3,0,0,NA
Q9C0B0,0.944,1,34
O94906,0.082,0,NA
P17812,0.974,1,6
P53621,0.694,1,6
Q9NZL4-3,0,0,NA
Q86YT6,0,0,NA
Q9ULX3,0.002,0,NA
Q92572,0,0,NA
Q9NV70,0.002,0,NA
Q99549-2,0.166,0,NA
Q9BSQ5-2,0.002,0,NA
O60832,0,0,NA
P60903,0,0,NA
Q6IN85,0.018,0,NA
Q8WXI9,0,0,NA
Q86YP4-3,0.456,0,NA
Q14289-2,0.998,1,21
P78536,0.986,1,27
Q6IAN0,0,0,NA
P05114,0,0,NA
Q8WX92,0.292,0,NA
P62244,0,0,NA
Q13488,0,0,NA
P50416,0,0,NA
Q6VEQ5,0,0,NA
Q12933,0.964,1,7
O60563,0,0,NA
Q03252,0.016,0,NA
P49756,0,0,NA
Q96B02-3,0,0,NA
P62495,1,1,12
Q9BXW6,0,0,NA
Q9UIC8-2,0,0,NA
Q9NRA8-3,0.696,1,21
O15269,0.014,0,NA
Q9NVN8,0.03,0,NA
Q9NZ08-2,0.006,0,NA
Q9NVP1,0.502,1,32
Q07021,0,0,NA
Q14974,0.996,1,6
Q15041,0.228,0,NA
P04083,0.886,1,4
Q96IZ7,0,0,NA
P13693,0.012,0,NA
Q99611,0.058,0,NA
Q9UI26-2,0.012,0,NA
Q92619,0.99,1,21
Q8TF42,0,0,NA
Q7L0Y3,0,0,NA
Q9UP83-2,0,0,NA
Q8N1F7,0.636,1,5
Q86YV5,0.036,0,NA
Q6KC79,0,0,NA
Q96TA1,0.006,0,NA
Q6UB35,0,0,NA
Q9NWU1,0.904,1,8
Q9UNI6,0.036,0,NA
C9JLW8,0,0,NA
P62829,0.42,0,NA
P60981,0.018,0,NA
Q8IY67-2,0,0,NA
Q68CP4,0,0,NA
Q8NEZ2,0,0,NA
P10515,0,0,NA
Q8WVM8,0.958,1,5
Q10472,0,0,NA
Q6L8Q7,0.058,0,NA
Q01415,0.012,0,NA
Q8WWN9-2,0,0,NA
Q6UX04,0,0,NA
O75400,0.446,0,NA
Q9UJX4,0,0,NA
Q02040,0.008,0,NA
Q96R06,0.938,1,10
Q9HAU5,0.006,0,NA
P18074,0.212,0,NA
O94874,0,0,NA
Q96GG9,0,0,NA
O76071,0,0,NA
Q8N4T8,0,0,NA
O94766,0,0,NA
Q9UJV9,0,0,NA
