Protein Accession,Fusion Probability,Fused,Cluster Number
Q9Y512,0.044,0,NA
P56192,0.078,0,NA
P07947,0,0,NA
Q8IXI1,0,0,NA
Q15021,0.638,1,29
Q8NE86,0.046,0,NA
Q9UBF8-2,0.002,0,NA
Q9UM13,0,0,NA
P31751,0,0,NA
P51151,0.002,0,NA
Q7LBC6,0.434,0,NA
Q15080,0,0,NA
Q9H4Z3,0.932,1,21
P36969,0,0,NA
O94966-6,0,0,NA
Q9H7N4,0.016,0,NA
Q9P0J1-2,0,0,NA
Q12962,0.002,0,NA
Q5H9R7,0.088,0,NA
P28715,0.034,0,NA
O75955,0.002,0,NA
Q8N7R7,0,0,NA
Q9P2E9,0.96,1,3
Q9HC36,0,0,NA
P35236-3,0,0,NA
O75533,0.004,0,NA
Q15050,0.494,0,NA
O43914,0.588,1,4
A0JNW5,0.018,0,NA
Q6Y7W6,0,0,NA
Q13085-4,0.968,1,29
P30153,0.626,1,22
P20700,0.052,0,NA
Q8NBN7,0.114,0,NA
Q9HCD5,0.994,1,28
Q6RFH5,0.002,0,NA
Q9Y666,0,0,NA
Q7Z6I6,0.984,1,21
P42696,0,0,NA
Q96QK1,0.784,1,12
Q7Z6E9,0,0,NA
Q5JVF3-4,0,0,NA
Q53H12,0,0,NA
P22102,0.07,0,NA
Q16401,0,0,NA
Q16706,0.966,1,26
Q9H0U3,0.004,0,NA
Q9NP79,0,0,NA
Q93009,0,0,NA
O15037,0,0,NA
P67812-3,0.268,0,NA
O15031,0.002,0,NA
P08754,0,0,NA
Q9Y2U8,0,0,NA
Q9GZT3,0,0,NA
O75934,0.832,1,13
Q9UQR0,0,0,NA
P36507,0,0,NA
Q96S66,0,0,NA
Q6P2H3,0,0,NA
Q6DD88,0.862,1,26
Q96BY6,0.448,0,NA
P43378,0,0,NA
Q9UKX7,0.736,1,8
O43237,0,0,NA
Q13901,0,0,NA
Q96BN8,0.956,1,21
Q92888-3,0.968,1,21
P17096,0,0,NA
Q7Z3K3,0.002,0,NA
Q15643,0.028,0,NA
Q9BUQ8,0,0,NA
Q14966,0.462,0,NA
O15446-2,0,0,NA
Q9Y262,0.982,1,6
Q6P3W7,0,0,NA
Q9BXJ9,0.988,1,6
Q9NU22,0.988,1,21
Q86U86,0.134,0,NA
Q9BYM8,0.868,1,4
P49585,0,0,NA
Q8IYS2-2,0.012,0,NA
Q8IZ81,0,0,NA
Q3V6T2,0.464,0,NA
Q12872-2,0,0,NA
Q9BZE2,0.008,0,NA
Q96T76-8,0,0,NA
Q969X0,0,0,NA
Q8IXT5,0,0,NA
O43818,0.002,0,NA
Q9Y320,0,0,NA
O75746,0,0,NA
Q9Y3D9,0,0,NA
Q96RS6,0.978,1,12
Q9NTJ5,0.172,0,NA
Q92947,0,0,NA
O14579,0,0,NA
Q9UKV8,0,0,NA
Q9H0L4,0.01,0,NA
Q9NZD8,0.088,0,NA
Q8NF37,0,0,NA
Q9NQT8,0,0,NA
Q14137,0.004,0,NA
O95782,0.062,0,NA
Q9H773,0,0,NA
P22087,0.132,0,NA
O15260,0.782,1,26
P49902,0.004,0,NA
P55263,0,0,NA
Q9UMY4,0.006,0,NA
Q86UK7,0.082,0,NA
O14929,0.03,0,NA
O60684,0.272,0,NA
Q96T60,0.006,0,NA
O95232,0.32,0,NA
Q6ULP2,0.038,0,NA
Q658P3-2,0,0,NA
Q9NY93,0,0,NA
P30876,0,0,NA
Q96NW4,0,0,NA
Q9H6F5,0.004,0,NA
O95433,0.994,1,12
Q13620,0,0,NA
Q13426,0,0,NA
Q14160-3,0,0,NA
Q9UHB9,0.02,0,NA
O75323,0.164,0,NA
P68400,0,0,NA
P19367-3,0,0,NA
Q9H147,0,0,NA
O75446,0,0,NA
Q6NYC8,0.976,1,3
Q9BQ70,0.89,1,8
Q13144,0.136,0,NA
Q9NZ43,0,0,NA
P61244,0,0,NA
Q13568-2,0.802,1,6
P55199,0,0,NA
Q9Y3A2,0.002,0,NA
Q96I24,0.11,0,NA
Q9Y6C9,0.126,0,NA
Q9Y5S1,0,0,NA
Q13492,0,0,NA
Q9H9L3,0,0,NA
Q96JC1,0,0,NA
Q9Y2Z4,0.606,1,26
Q9BVC4,0,0,NA
Q9BZH6,0.002,0,NA
Q96KM6,0.004,0,NA
P78332,0.594,1,28
P54727,0,0,NA
Q15910-2,0,0,NA
P10644,0,0,NA
Q12905,0,0,NA
Q5T200,0,0,NA
Q2VPK5,0,0,NA
P51398,0.312,0,NA
Q8WUB8,0,0,NA
P49716,0,0,NA
O14735,0.008,0,NA
Q12996,0,0,NA
P51991,0.556,1,35
O94826,0.988,1,28
P61421,0,0,NA
Q9Y263,0.882,1,3
Q9Y3B4,0,0,NA
Q9P2J5,0.626,1,22
P35221-2,0.866,1,36
P23246,0.324,0,NA
Q5JTZ9,0.012,0,NA
Q9P0U4-2,0,0,NA
P33527,0,0,NA
Q96EB6,0,0,NA
Q14562,0,0,NA
Q9Y2X3,0.306,0,NA
P50991,0.896,1,29
Q6ZU80,0,0,NA
Q8N5K1,0,0,NA
Q9Y2S7,0.206,0,NA
Q9UI09,0,0,NA
Q92576,0,0,NA
Q9BTW9-4,0.168,0,NA
Q92905,0,0,NA
Q99933,0.674,1,3
P16152,0.99,1,3
P20073,0.836,1,6
Q9Y5M8,0,0,NA
P53609,0,0,NA
P41223,0,0,NA
Q9NX58,0,0,NA
O43660,0.37,0,NA
Q12830,0,0,NA
Q96AE7-2,0,0,NA
Q9UPT5,0.032,0,NA
O95163,0,0,NA
Q96BK5,0.002,0,NA
O15213,0,0,NA
P14618,0.038,0,NA
Q8NEF9,0.612,1,27
Q8NBM4,0,0,NA
Q9BV19,0,0,NA
Q9BSJ2-4,0.464,0,NA
P22695,0.064,0,NA
Q9BWM7,0.95,1,13
Q9UKG1,0,0,NA
Q99543,0.014,0,NA
Q9Y5X3,0.726,1,31
P01137,0.676,1,37
Q13162,0,0,NA
O75718,0,0,NA
Q6P2Q9,0,0,NA
Q9HC52,0.696,1,24
P46940,0.576,1,6
O95251,0,0,NA
Q9GZS3,0,0,NA
P51608-2,0.014,0,NA
Q5HYJ3,0,0,NA
P27635,0,0,NA
P78316,0.064,0,NA
P46087-4,0,0,NA
O94913,0,0,NA
Q9UNA1,0,0,NA
Q92974,0.034,0,NA
P51531,0.274,0,NA
O75157,0,0,NA
P36542,0.166,0,NA
O75150,0,0,NA
P52306-5,0.518,1,29
Q96EY4,0,0,NA
Q8NCN5,0,0,NA
Q9H9A5-6,0.01,0,NA
Q9Y3E7,0,0,NA
P62308,0,0,NA
Q96IX5,0.996,1,26
Q96AX1,0,0,NA
O95248-4,0,0,NA
Q99747,0.008,0,NA
P51003,0,0,NA
Q5T3I0-3,0.154,0,NA
P28288,0,0,NA
Q9H078-2,0,0,NA
O75844,0.024,0,NA
Q9Y5B0,0,0,NA
Q99816,0.462,0,NA
A3KN83,0.002,0,NA
Q92618,0.028,0,NA
P20674,0.994,1,13
P05165,0,0,NA
Q92547,0,0,NA
O43402,0.02,0,NA
Q8WUX9,0.032,0,NA
Q8IU85,0,0,NA
Q12789,0.544,1,25
Q8NBU5,0.674,1,25
Q96C36,0.874,1,9
P54578,0.012,0,NA
P18859-2,0,0,NA
Q9BU23,0.002,0,NA
P11940,0,0,NA
P49711,0.782,1,13
Q13895,0,0,NA
P98179,0.004,0,NA
Q86UE8-2,0.002,0,NA
Q96QC0,0,0,NA
Q9BRV8-2,0.132,0,NA
Q9H4G4,0.152,0,NA
Q9NYK5,0.002,0,NA
Q9NRR5,0,0,NA
Q9UHQ9,0,0,NA
O75494,0,0,NA
Q96PC5,0.042,0,NA
P61619,0.61,1,12
Q147X3,0,0,NA
Q12931,0.71,1,26
P48643,0.1,0,NA
O43143,0.154,0,NA
Q15836,0,0,NA
Q9BTX1,0.014,0,NA
Q86W50,0.002,0,NA
Q9H0X9,0,0,NA
Q10570,0,0,NA
O75380,0.004,0,NA
Q9C0C2,0.008,0,NA
Q7Z3J2,0.13,0,NA
P36222,0.966,1,10
Q8WUM4,0.91,1,21
B0I1T2,0.444,0,NA
P41252,0.924,1,29
P09110,0,0,NA
P05141,0.914,1,26
O00629,0,0,NA
Q86UL3,0,0,NA
P31930,0.298,0,NA
Q7Z4H3,0,0,NA
Q8IZ69,0.036,0,NA
Q8N766,0,0,NA
P68104,0.002,0,NA
P52209,0.846,1,3
Q96FZ7,0.02,0,NA
P05023,0.11,0,NA
Q8WWM7,0,0,NA
Q15047,0.008,0,NA
Q14155-5,0,0,NA
Q7Z3C6,0.02,0,NA
P30679,0.006,0,NA
Q14145,0.578,1,38
P55884-2,0.368,0,NA
P37268,0.936,1,7
Q15031,0.01,0,NA
Q9NPA8,0.002,0,NA
Q4KMQ2-2,0.184,0,NA
P49748-3,0.024,0,NA
P45877,0,0,NA
P46977,0.634,1,26
O43181,0,0,NA
Q13618,0.012,0,NA
O00232,0.992,1,12
Q8IWI9-4,0.884,1,7
Q8NFQ8,0.428,0,NA
Q15046-2,0.976,1,3
Q14CX7,0,0,NA
Q8TF68,0.006,0,NA
Q8IWV8,0.002,0,NA
P55735,0.326,0,NA
P35658-3,0,0,NA
Q9UFC0,0,0,NA
Q9Y5J7,0.068,0,NA
Q9HBU1,0,0,NA
Q9BXP5,0,0,NA
P49840,0.006,0,NA
P22570-7,0,0,NA
O43592,0.414,0,NA
P56545-2,0.002,0,NA
Q6ICG6-2,0.002,0,NA
O75116,0.004,0,NA
Q96EE3-1,0,0,NA
Q9H9E3,0.006,0,NA
P40227,0,0,NA
Q00059,0,0,NA
Q9BVJ6,0.002,0,NA
Q9NZB2-6,0.024,0,NA
Q9UMZ2,0.012,0,NA
Q96HE7,0,0,NA
O14874,0.138,0,NA
Q14739,0.012,0,NA
O95870,0,0,NA
Q14156,0,0,NA
Q96DI7-2,0,0,NA
Q8IYI6,0,0,NA
Q6PJW8,0,0,NA
Q9UBB5,0.012,0,NA
Q14152,0.002,0,NA
Q8IUR7,0.002,0,NA
O75376,0,0,NA
Q9H7B2,0.998,1,28
P55145,0,0,NA
O43819,0.018,0,NA
P55957-2,0.686,1,3
P52272,0.832,1,13
Q9UNZ2-5,0,0,NA
P52790,0.94,1,10
O95777,0,0,NA
Q5JSP0,0.124,0,NA
P63098,0.032,0,NA
P63244,0.996,1,12
P82094-2,0.208,0,NA
Q96EU6,0.008,0,NA
Q9BW92,0.01,0,NA
Q9NVH1,0.05,0,NA
Q9P2R7,0.006,0,NA
Q9BVG4,0,0,NA
P13010,0,0,NA
Q9H267,0,0,NA
Q9Y2T2,0.006,0,NA
Q15042-3,0.356,0,NA
Q9UBF2,0,0,NA
O94776,0,0,NA
Q13423,0,0,NA
Q16186,0.004,0,NA
Q86XI2,0.01,0,NA
P17987,0.674,1,29
O43837,0.712,1,27
O76094,0.118,0,NA
Q96JN8,0,0,NA
Q6PCB7,0,0,NA
Q92793,0.008,0,NA
Q6UN15,0.934,1,13
Q9UBV8,0.002,0,NA
Q96GA3,0,0,NA
Q9NSY1,0,0,NA
P46776,0.028,0,NA
P27986,0,0,NA
Q9Y217,0,0,NA
P46100,0.004,0,NA
O60645,0.74,1,21
O43847-2,0.956,1,12
Q9H9B4,0.036,0,NA
Q9NXN4,0.014,0,NA
Q9Y314,0.14,0,NA
Q9NRK6,0,0,NA
Q14151,0,0,NA
P51159,0,0,NA
O75643,0.026,0,NA
O60306,0.102,0,NA
Q8N6T3-2,0.046,0,NA
O95168,0,0,NA
Q9BTE3,0,0,NA
Q3B726,0,0,NA
O60749,0.99,1,3
P63173,0,0,NA
Q14318-2,0,0,NA
Q9UNM6,0.086,0,NA
Q6VMQ6-4,0.002,0,NA
Q13263,0,0,NA
Q9NRZ9,0,0,NA
Q12888-2,0.27,0,NA
O14727,0,0,NA
Q9UPN6,0.756,1,36
Q00796,0.002,0,NA
Q9BQ39,0.044,0,NA
Q16563,0.06,0,NA
Q9BZF1,0.114,0,NA
Q7L2H7,0.992,1,12
P46379-3,0.008,0,NA
O60231,0,0,NA
Q9NUJ1,0.044,0,NA
Q06265-2,0,0,NA
Q13769,0.108,0,NA
P19174-2,0,0,NA
Q9UBL3,0.196,0,NA
Q13642-4,0,0,NA
O60934,0.002,0,NA
Q8TDZ2-4,0.004,0,NA
Q9H0E2,0,0,NA
Q96NB3,0,0,NA
Q14690,0.274,0,NA
Q9UI12,0.664,1,6
P78346-2,0,0,NA
Q9BW61,0,0,NA
Q96P70,0.326,0,NA
P40222,0.022,0,NA
Q9BQ67,0.008,0,NA
Q8N0U8-2,0,0,NA
Q02127,0.026,0,NA
Q8N6M0,0,0,NA
Q9Y6M9,0,0,NA
O43395,0.002,0,NA
Q9Y4C2,0,0,NA
Q6ZMG9-2,0.016,0,NA
Q9UJW0,0.422,0,NA
O96017-9,0.182,0,NA
Q4G0N4,0,0,NA
Q96I99,0.026,0,NA
Q9Y316-3,0,0,NA
Q06547,0,0,NA
P46531,0,0,NA
P11234-2,0,0,NA
Q96KR1,0.22,0,NA
O14497,0,0,NA
Q9Y2S0,0,0,NA
P29353-6,0,0,NA
Q8NEZ5,0.224,0,NA
Q5VWQ0,0.212,0,NA
Q9BQE3,0,0,NA
O75534-4,0,0,NA
Q9NXR7,0,0,NA
Q9Y4W6,0.894,1,13
Q9UKD1,0.074,0,NA
Q9NPB8,0,0,NA
O00231-2,0.934,1,12
P61009,0.092,0,NA
Q5JPH6-2,0.016,0,NA
Q9UHD2,0.824,1,22
P48735,0.428,0,NA
Q9UH99,0.696,1,13
Q9UJF2-2,0.026,0,NA
P17858,0.098,0,NA
Q5VVQ6,0,0,NA
Q9HBR0,0,0,NA
Q00325,0.046,0,NA
Q8TB61,0.186,0,NA
Q9Y5B8,0,0,NA
Q9HCS7,0.004,0,NA
Q8NC56,0.01,0,NA
O15254,0,0,NA
Q9Y2R4,0,0,NA
Q9BTZ2,0,0,NA
Q14344,0,0,NA
Q14566,0.574,1,7
P83881,0,0,NA
P24928,0.008,0,NA
P30566,0,0,NA
P62249,0.172,0,NA
P43243,0.26,0,NA
Q14061,0.004,0,NA
Q14186,0,0,NA
Q68E01-2,0.006,0,NA
P48634,0.002,0,NA
P38159,0.928,1,13
O95486,0,0,NA
P62314,0.284,0,NA
Q99590,0.118,0,NA
Q9P289,0.006,0,NA
Q9NUQ8,0.212,0,NA
Q7Z6P3,0,0,NA
Q2TAY7,0.004,0,NA
Q9BYW2,0,0,NA
Q96CW5,0.938,1,8
Q9P0M6,0,0,NA
P41240,0.004,0,NA
P60866-2,0,0,NA
Q8N6H7,0.13,0,NA
Q9Y3L3,0.024,0,NA
Q9H2P0,0.364,0,NA
O75947,0.998,1,13
Q9GZL7,0.162,0,NA
P08579,0.002,0,NA
Q13838-2,0,0,NA
Q05193,0.008,0,NA
Q8NFC6,0.004,0,NA
P46782,0.016,0,NA
Q9NWH9,0.816,1,13
Q9UBB4,0.028,0,NA
P11172,0,0,NA
Q9Y6G5,0,0,NA
P45985-2,0,0,NA
P51148-2,0,0,NA
P18440,0.004,0,NA
Q96JB5-4,0,0,NA
Q9UJZ1,0.966,1,13
P42025,0,0,NA
Q9P2X0-2,0,0,NA
P62873,0,0,NA
Q9HBL7,0.002,0,NA
P49916,0,0,NA
P62266,0.044,0,NA
O43615,0,0,NA
P46108,0,0,NA
Q9P2T1,0.036,0,NA
Q9Y2W1,0.078,0,NA
Q92615,0,0,NA
O95479,0.28,0,NA
Q9HC21,0.044,0,NA
P49795,0,0,NA
Q9NSK0-3,0.138,0,NA
O00483,0,0,NA
Q658Y4,0.004,0,NA
P78371,0,0,NA
Q8WXE0,0.018,0,NA
O95801,0.034,0,NA
O60826,0.012,0,NA
O94927,0,0,NA
Q96A33,0,0,NA
P49915,0.676,1,7
Q13619,0,0,NA
Q7LG56-6,0.37,0,NA
Q14697,0,0,NA
P38919,0.02,0,NA
O00268,0,0,NA
Q9P013,0.002,0,NA
Q05D32,0,0,NA
Q5JTJ3-2,0,0,NA
Q14457,0.002,0,NA
Q16512-2,0.174,0,NA
Q9Y3Y2-3,0.04,0,NA
Q99653,0,0,NA
Q9NPL8,0.006,0,NA
Q9H9Y6-3,0,0,NA
O94915,0,0,NA
Q96QG7,0.066,0,NA
Q8N163,1,1,13
P51665,0,0,NA
P36776,0,0,NA
Q9BYD2,0,0,NA
Q9UNQ2,0.004,0,NA
P16402,0,0,NA
Q96D53,0,0,NA
Q9NPF5,0,0,NA
Q969V3,0,0,NA
Q96PK6,0.222,0,NA
Q9UQR1,0.138,0,NA
Q9NZM3,0.128,0,NA
Q9BY77,0.994,1,13
Q5VTR2,0,0,NA
Q5T8D3,0.036,0,NA
Q9UGV2,0,0,NA
Q567U6,0.12,0,NA
Q7Z478,0,0,NA
P13639,0.456,0,NA
Q9NV06,0.36,0,NA
Q01813,0.132,0,NA
Q9NRY4,0,0,NA
P11498,0,0,NA
Q9BRU9,0.036,0,NA
O14602,0,0,NA
O60942,0,0,NA
Q96ME7,0,0,NA
Q92879,0.028,0,NA
Q13347,0.006,0,NA
P31749,0,0,NA
Q16822,0,0,NA
O76003,0.886,1,12
Q9NVI7-2,0.014,0,NA
P42677,0,0,NA
Q9BTD8,0,0,NA
Q99459,0.86,1,13
Q16763,0.026,0,NA
Q9BRX2,0,0,NA
O95747,0.02,0,NA
Q9HAN9,0,0,NA
Q15233,0.95,1,13
Q4VC31,0,0,NA
P23634,0,0,NA
Q9C0C9,0,0,NA
Q04726,0,0,NA
Q9C005,0.058,0,NA
P27708,0.892,1,29
Q13884,0.282,0,NA
Q15283,0,0,NA
Q9Y520-7,0.982,1,3
O15211,0,0,NA
Q07666,0,0,NA
P15153,0.05,0,NA
Q7L5Y9,0,0,NA
O14656,0.114,0,NA
O94842,0.032,0,NA
O15126,0.032,0,NA
O75439,0.004,0,NA
Q9UKM7,0.036,0,NA
Q96PV6-2,0.526,1,4
Q9Y5P4-3,0,0,NA
P20585,0,0,NA
P26440,0.016,0,NA
Q9Y399,0,0,NA
Q9UNF1,0.848,1,7
Q96I15,0,0,NA
P42898-2,0,0,NA
O96019,0,0,NA
Q9C0J8,0.262,0,NA
Q13155,0.004,0,NA
Q9BTY7,0.23,0,NA
Q15637-5,0.002,0,NA
Q16881,0.03,0,NA
Q96E39,0.006,0,NA
P35251,0.278,0,NA
Q9P0M9,0.988,1,13
Q9P031,0.324,0,NA
Q9NV31,0.002,0,NA
Q8NI36,0.678,1,37
Q8N2K0-2,0.016,0,NA
Q8IXK0-5,0,0,NA
P63220,0,0,NA
O95684,0.116,0,NA
P42166,0.004,0,NA
Q10567-3,0,0,NA
Q8NDB2-4,0.042,0,NA
P54619-3,0.026,0,NA
P26196,0.31,0,NA
Q9H9J2,0,0,NA
Q8N6R0,0.106,0,NA
Q8N0X7,0.068,0,NA
P25787,0.308,0,NA
Q96A49,0,0,NA
Q07020,0,0,NA
O75879,0,0,NA
Q9NZQ3,0,0,NA
Q15036,0.016,0,NA
P49841-2,0,0,NA
Q86Y82,0.788,1,3
P41091,0.006,0,NA
Q9UBS4,0,0,NA
Q53H96,0.002,0,NA
Q96EY8,0.012,0,NA
P82930,0,0,NA
P30626,0.002,0,NA
P68371,0,0,NA
Q3SY69,0,0,NA
Q9HCK8,0.002,0,NA
Q9H993,0.002,0,NA
O14949,0.968,1,13
P26368,0,0,NA
Q14980-2,0.482,0,NA
P50479,0.612,1,36
Q49AR2,0.32,0,NA
Q7Z3D6-2,0.44,0,NA
Q92520,0.168,0,NA
P62072,0,0,NA
Q7Z739,0.186,0,NA
Q9Y223-2,0,0,NA
Q9HB19,0.144,0,NA
Q8IWV7,0.604,1,39
Q06330,0,0,NA
P35269,0,0,NA
P10620,0,0,NA
Q9UMS0,0,0,NA
O75794,0,0,NA
Q96G25-2,0,0,NA
Q12972,0,0,NA
Q13523,0,0,NA
Q7RTV0,0.004,0,NA
Q9P260-2,0,0,NA
Q9UM00,0,0,NA
Q7Z2K6,0.002,0,NA
O75348,0,0,NA
Q9Y3B2,0.002,0,NA
Q9H269,0,0,NA
Q8N9T8,0,0,NA
Q01518,0,0,NA
Q9UGU5,0,0,NA
A6NC98,0.018,0,NA
Q9NR19-2,0.992,1,7
Q9H446,0,0,NA
P84098,0,0,NA
Q9HBH5,0,0,NA
Q9H081,0,0,NA
Q9UQ13,0,0,NA
Q02880-2,0.24,0,NA
Q13485,0,0,NA
Q8IXI2-3,0,0,NA
P08238,0.764,1,39
Q5K4L6,0,0,NA
Q9GZS1-2,0,0,NA
P67809,0,0,NA
Q8ND24,0.03,0,NA
Q8TEH3,0,0,NA
Q06210,0.778,1,3
P42167,0,0,NA
Q8NFF5,0.004,0,NA
P38646,0,0,NA
P50135,0.46,0,NA
P30519,0,0,NA
P51553,0.254,0,NA
P62263,0,0,NA
Q9NYH9,0,0,NA
Q9Y5S9,0,0,NA
Q9Y228,0,0,NA
Q9UNS1,0,0,NA
P13987,0,0,NA
O75489,0.136,0,NA
Q16637,0.004,0,NA
P18754-2,0.924,1,13
Q53GQ0,0.078,0,NA
Q9GZZ9,0,0,NA
P30536,0,0,NA
Q7Z7H8-2,0.272,0,NA
Q96AG4,0,0,NA
Q5VIR6-4,0,0,NA
O00567,0.59,1,28
Q86W42,0,0,NA
Q9BRT6,0,0,NA
P19387,0,0,NA
Q9Y2R0,0,0,NA
Q13330,0,0,NA
Q96EY7,0.016,0,NA
Q9BT78,0.012,0,NA
Q9Y6D9,0,0,NA
Q9UEW8,0.964,1,40
Q9H7E9-2,0,0,NA
P19544-7,0,0,NA
P22681,0.014,0,NA
Q96L92,0.016,0,NA
Q9UKL0,0.026,0,NA
Q92614-2,0.768,1,7
Q96EY1,0,0,NA
Q10713,0.01,0,NA
Q96HQ2,0,0,NA
Q96JJ7,0,0,NA
P98175,0.048,0,NA
Q96A65,0,0,NA
O95613,0,0,NA
O60870,0,0,NA
Q5T5Y3-3,0,0,NA
Q9UBD5-2,0,0,NA
Q9HD15,0.04,0,NA
P40939,0.002,0,NA
Q9Y3S2,0,0,NA
Q68EM7,0,0,NA
Q96CS3,0.996,1,37
Q1KMD3,0.086,0,NA
Q5UCC4,0,0,NA
Q9UL15-2,0,0,NA
Q9Y2S2,0.022,0,NA
P08708,0,0,NA
Q6NUK1,0.142,0,NA
Q9HC35,0,0,NA
O15182,0,0,NA
Q9H871,0,0,NA
Q7Z7K6,0.658,1,8
Q6YHK3,0,0,NA
Q00839,0,0,NA
Q9UKL6,0,0,NA
Q56VL3,0.002,0,NA
P63279,0,0,NA
O60271,0.07,0,NA
Q5T6V5,0,0,NA
Q0VD83-4,0,0,NA
Q13371,0,0,NA
Q00534,0.01,0,NA
Q5JSH3,0.002,0,NA
Q9BQ69,0,0,NA
P18858,0.99,1,7
Q96HD1-2,0.002,0,NA
P49368,0.244,0,NA
O00399,0.076,0,NA
Q14444,0,0,NA
P62899,0,0,NA
Q12906-7,0.186,0,NA
Q5T1M5,0.998,1,3
Q9H7Z6,0,0,NA
Q9UQ35,0.32,0,NA
P08047,0.034,0,NA
Q5JRX3-2,0.522,1,41
P36551,0,0,NA
Q8N1G0,0.778,1,8
Q9Y608-4,0,0,NA
Q7L5N1,0.002,0,NA
P08651,0,0,NA
Q96KP1,0.418,0,NA
Q04721,0.248,0,NA
P09496-2,0,0,NA
Q9UHQ4,0.002,0,NA
Q9H501,0.974,1,37
Q9UKV3,0.514,1,13
Q9NUQ2,0,0,NA
Q93050-3,0,0,NA
Q92560,0,0,NA
Q9BYG3,0,0,NA
P07437,0.174,0,NA
Q15276,0,0,NA
Q9BS26,0.022,0,NA
Q10469,0.064,0,NA
P53007,0.004,0,NA
P56537,0,0,NA
P00966,0.01,0,NA
Q8TAQ2,0.778,1,13
Q5T280,0,0,NA
P30050,0.004,0,NA
P62701,0,0,NA
P62280,0.002,0,NA
Q96RP9,0.892,1,3
P24844,0,0,NA
Q86UY8,0,0,NA
Q9Y2R9,0.002,0,NA
Q13422,0,0,NA
P49848-3,0,0,NA
Q05639,0,0,NA
P55010,0.002,0,NA
P27348,0.822,1,42
P50583,0.008,0,NA
P61221,0.986,1,12
Q13573,0.892,1,13
Q9NV96,0,0,NA
P46459,0.004,0,NA
P26885,0,0,NA
Q8IWZ8,0,0,NA
Q53GS9,0.008,0,NA
Q15417,0,0,NA
Q9H307,0.998,1,13
Q96SI9,0,0,NA
Q9BZX2,0,0,NA
Q99828,0,0,NA
Q15057,0.114,0,NA
Q9UKF6,0.002,0,NA
